Sum of current_firm,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,Grand Total
49,0,10,1,1,10,10,10,1,10,10,1,10,1,10,1,10,10,10,1,10,1,1,1,10,10,1,1,1,10,1,1,10,10,10,1,10,1,10,10,10,1,10,10,1,10,1,10,1,1,10,10,10,10,1,1,1,10,335
50,0,10,1,1,1,10,1,10,1,1,10,10,1,1,10,10,1,1,10,1,10,1,1,10,10,1,10,10,1,1,10,1,10,1,10,1,1,10,1,10,10,10,1,10,1,10,1,10,1,1,1,10,1,10,1,10,10,299
51,1,10,0,8,10,10,8,10,10,8,10,10,10,8,0,0,10,8,10,8,8,10,10,8,10,8,0,0,10,8,10,0,8,10,0,0,10,8,10,8,0,8,10,0,8,10,10,0,8,8,0,8,10,8,10,8,10,401
52,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,8,0,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,0,8,8,0,8,8,8,10,10,10,10,10,10,430
53,10,8,8,10,8,8,10,10,10,8,0,8,10,10,10,8,8,8,10,8,10,0,8,10,0,8,8,10,8,8,10,0,0,10,10,8,10,8,10,10,8,10,10,8,0,8,10,10,8,10,8,8,8,0,0,10,8,440
54,1,10,10,10,10,10,10,1,1,1,10,1,10,1,10,10,10,1,10,10,1,1,1,10,1,1,10,10,10,10,1,10,1,10,10,10,10,10,10,10,10,10,1,10,10,10,10,1,10,10,10,10,10,10,10,10,1,417
55,10,10,10,10,10,10,1,1,10,10,10,1,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,1,10,1,1,1,10,1,1,1,10,10,10,1,10,10,10,10,10,1,1,1,363
56,1,1,1,1,10,1,10,1,10,1,10,1,1,1,1,1,1,10,10,10,10,1,1,10,1,1,10,1,1,10,10,10,10,10,10,10,10,10,1,1,1,10,10,10,1,10,10,1,1,1,1,10,10,1,1,1,1,291
57,0,10,10,1,1,10,1,1,0,10,1,10,1,10,10,10,1,1,1,10,1,1,10,1,1,1,10,1,1,10,1,10,1,10,1,10,10,1,10,10,10,1,1,10,1,10,1,10,1,10,10,1,1,1,10,10,1,289
58,10,1,10,1,10,1,10,1,0,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,1,10,1,1,1,10,1,10,1,10,1,10,1,10,1,10,10,1,10,1,10,1,10,1,10,1,10,1,299
