tick,firm_ID,capacity,overbook,customers_count,bookings,customers_waiting,pre_decision_booking,franchise_ID,star_rating,firm_age,f_deviance_propensity,firm_decision,firm_status
25,10,69,0,57,57,0,69,0,5,17,1,0,0
25,2,44,0,18,18,0,20,0,3.8,4,0,0,0
25,1,46,0,25,25,0,32,0,3.7,3,0,0,0
25,4,56,0,38,38,0,42,1,4.6,10,1,0,0
25,9,65,0,2,2,0,21,0,2.8,15,6,0,0
25,6,71,0,205,71,134,71,0,4.9,8,0,0,0
25,7,74,0,38,38,0,44,0,5,10,3,0,0
25,5,52,0,27,27,0,33,0,3.9,9,2,0,0
26,2,44,0,20,20,0,20,0,3.8,4,0,0,0
26,1,46,0,24,24,0,32,0,3.7,3,0,0,0
26,10,69,0,60,60,0,69,0,5,17,1,0,0
26,9,65,0,2,2,0,21,0,2.8,15,6,0,0
26,5,52,0,27,27,0,33,0,3.9,9,2,0,0
26,3,46,0,17,17,0,23,0,3.5,5,1,0,0
26,7,74,0,50,50,0,44,0,5,10,3,0,0
26,6,71,0,196,71,125,71,0,4.9,8,0,0,0
26,8,75,0,108,75,33,75,0,4.8,13,5,0,0
26,4,56,0,34,34,0,42,1,4.6,10,1,0,0
27,8,75,0,112,75,37,75,0,4.8,13,5,0,0
27,6,71,0,202,71,131,71,0,4.9,8,0,0,0
27,2,44,0,19,19,0,20,0,3.8,4,0,0,0
27,7,74,0,44,44,0,44,0,5,10,3,0,0
27,9,65,0,2,2,0,21,0,2.8,15,6,0,0
27,1,46,0,24,24,0,32,0,3.7,3,0,0,0
27,3,46,0,18,18,0,23,0,3.5,5,1,0,0
27,5,52,0,28,28,0,33,0,3.9,9,2,0,0
27,10,69,0,61,61,0,69,0,5,17,1,0,0
27,4,56,0,33,33,0,42,1,4.6,10,1,0,0
28,4,56,0,39,39,0,42,1,4.6,10,1,0,0
28,6,71,0,199,71,128,71,0,4.9,8,0,0,0
28,10,69,0,65,65,0,69,0,5,17,1,0,0
28,7,74,0,43,43,0,44,0,5,10,3,0,0
28,5,52,0,31,31,0,33,0,3.9,9,2,0,0
28,1,46,0,22,22,0,32,0,3.7,3,0,0,0
28,2,44,0,17,17,0,20,0,3.8,4,0,0,0
28,3,46,0,22,22,0,23,0,3.5,5,1,0,0
28,8,75,0,105,75,30,75,0,4.8,13,5,0,0
28,9,65,0,2,2,0,21,0,2.8,15,6,0,0
29,7,74,0,41,41,0,44,0,5,10,3,0,0
29,4,56,0,38,38,0,42,1,4.6,10,1,0,0
29,10,69,0,57,57,0,69,0,5,17,1,0,0
29,5,52,0,30,30,0,33,0,3.9,9,2,0,0
29,8,75,0,123,75,48,75,0,4.8,13,5,0,0
29,9,65,0,2,2,0,21,0,2.8,15,6,0,0
29,3,46,0,16,16,0,23,0,3.5,5,1,0,0
29,2,44,0,19,19,0,20,0,3.8,4,0,0,0
29,1,46,0,24,24,0,32,0,3.7,3,0,0,0
29,6,71,0,191,71,120,71,0,4.9,8,0,0,0
30,3,46,0,13,13,0,23,0,3.5,5,1,0,0
30,8,75,0,106,75,31,75,0,4.8,13,5,0,0
30,6,71,0,209,71,138,71,0,4.9,8,0,0,0
30,7,74,0,46,46,0,44,0,5,10,3,0,0
30,1,46,0,28,28,0,32,0,3.7,3,0,0,0
30,5,52,0,24,24,0,33,0,3.9,9,2,0,0
30,9,65,0,2,2,0,21,0,2.8,15,6,0,0
30,10,69,0,59,59,0,69,0,5,17,1,0,0
30,2,44,0,14,14,0,20,0,3.8,4,0,0,0
30,4,56,0,41,41,0,42,1,4.6,10,1,0,0
31,10,69,0,61,61,0,69,0,5,17,1,0,0
31,2,44,0,17,17,0,20,0,3.8,4,0,0,0
31,9,65,0,2,2,0,21,0,2.8,15,6,0,0
31,8,75,0,111,75,36,75,0,4.8,13,5,0,0
31,5,52,0,30,30,0,33,0,3.9,9,2,0,0
31,4,56,0,34,34,0,42,1,4.6,10,1,0,0
31,7,74,0,34,34,0,44,0,5,10,3,0,0
31,3,46,0,14,14,0,23,0,3.5,5,1,0,0
31,1,46,0,26,26,0,32,0,3.7,3,0,0,0
31,6,71,0,203,71,132,71,0,4.9,8,0,0,0
32,7,74,0,50,50,0,44,0,5,10,3,0,0
32,4,56,0,33,33,0,42,1,4.6,10,1,0,0
32,1,46,0,23,23,0,32,0,3.7,3,0,0,0
32,9,65,0,2,2,0,21,0,2.8,15,6,0,0
32,6,71,0,208,71,137,71,0,4.9,8,0,0,0
32,3,46,0,15,15,0,23,0,3.5,5,1,0,0
32,10,69,0,59,59,0,69,0,5,17,1,0,0
32,5,52,0,30,30,0,33,0,3.9,9,2,0,0
32,8,75,0,104,75,29,75,0,4.8,13,5,0,0
32,2,44,0,21,21,0,20,0,3.8,4,0,0,0
33,10,69,0,69,69,0,69,0,5,17,1,0,0
33,8,75,0,105,75,30,75,0,4.8,13,5,0,0
33,7,74,0,39,39,0,44,0,5,10,3,0,0
33,1,46,0,24,24,0,32,0,3.7,3,0,0,0
33,4,56,0,38,38,0,42,1,4.6,10,1,0,0
33,3,46,0,17,17,0,23,0,3.5,5,1,0,0
33,6,71,0,198,71,127,71,0,4.9,8,0,0,0
33,5,52,0,27,27,0,33,0,3.9,9,2,0,0
33,9,65,0,2,2,0,21,0,2.8,15,6,0,0
33,2,44,0,15,15,0,20,0,3.8,4,0,0,0
34,10,69,0,68,68,0,69,0,5,17,1,0,0
34,2,44,0,11,11,0,20,0,3.8,4,0,0,0
34,6,71,0,212,71,141,71,0,4.9,8,0,0,0
34,9,65,0,2,2,0,21,0,2.8,15,6,0,0
34,7,74,0,47,47,0,44,0,5,10,3,0,0
34,8,75,0,118,75,43,75,0,4.8,13,5,0,0
34,3,46,0,13,13,0,23,0,3.5,5,1,0,0
34,5,52,0,24,24,0,33,0,3.9,9,2,0,0
34,4,56,0,38,38,0,42,1,4.6,10,1,0,0
34,1,46,0,20,20,0,32,0,3.7,3,0,0,0
35,2,44,0,20,20,0,20,0,3.8,4,0,0,0
35,7,74,0,39,39,0,44,0,5,10,3,0,0
35,9,65,0,2,2,0,21,0,2.8,15,6,0,0
35,5,52,0,28,28,0,33,0,3.9,9,2,0,0
35,4,56,0,40,40,0,42,1,4.6,10,1,0,0
35,3,46,0,16,16,0,23,0,3.5,5,1,0,0
35,6,71,0,188,71,117,71,0,4.9,8,0,0,0
35,1,46,0,22,22,0,32,0,3.7,3,0,0,0
35,10,69,0,64,64,0,69,0,5,17,1,0,0
35,8,75,0,105,75,30,75,0,4.8,13,5,0,0
36,6,71,0,211,71,140,71,0,4.9,8,0,0,0
36,8,75,0,107,75,32,75,0,4.8,13,5,0,0
36,3,46,0,13,13,0,23,0,3.5,5,1,0,0
36,2,44,0,15,15,0,20,0,3.8,4,0,0,0
36,1,46,0,22,22,0,32,0,3.7,3,0,0,0
36,10,69,0,62,62,0,69,0,5,17,1,0,0
36,4,56,0,43,43,0,42,1,4.6,10,1,0,0
36,9,65,0,2,2,0,21,0,2.8,15,6,0,0
36,5,52,0,27,27,0,33,0,3.9,9,2,0,0
36,7,74,0,44,44,0,44,0,5,10,3,0,0
37,10,69,0,68,68,0,69,0,5,17,1,0,0
37,1,46,0,21,21,0,32,0,3.7,3,0,0,0
37,5,52,0,20,20,0,33,0,3.9,9,2,0,0
37,8,75,0,104,75,29,75,0,4.8,13,5,0,0
37,4,56,0,30,30,0,42,1,4.6,10,1,0,0
37,6,71,0,204,71,133,71,0,4.9,8,0,0,0
37,9,65,0,2,2,0,21,0,2.8,15,6,0,0
